Date,Clenow 动量 (Stocks on the Move),Minervini 趋势模板,HQM 高质量动量,"多因子动量 (FIP+偏度, Top5)",RSI(2) 均值回归 (Connors),动量 12-1 前 10% (Jegadeesh-Titman),52 周新高接近度 (George-Hwang),低波动 前 25% (long-only),低贝塔 前 10% (Betting Against Beta 多头腿),残差动量 前 10% (Blitz-Huij-Martens),短期反转 周度 10 只,12 个月季节性 (Heston-Sadka),一致性动量 (t−7..t−1 与 t−6..t 双前 10%),历史新高趋势跟踪 + ATR 止损,本仓库 C20 成交额加权 (strategy_final.py),本仓库 v6 动量 Top20 + 趋势过滤 (momentum.py),SPY 买入持有
2010-04-05,0.016609216359909983,0.011912779643182705,0.020209247743045715,0.006176748842338119,0.02469886324813025,0.01799244932803918,0.008835135834494533,0.00333036915715915,-0.0005571666477906245,0.017051708057292565,0.015327130656202493,0.02074953422049472,0.004956577919440105,0.00784115342533137,0.010126173423857136,0.018386082932567837,0.008149166208698322
2010-04-06,0.005374958728322263,0.0025539229661087548,0.006561535266058828,-0.004752304070806026,-0.002883344337951564,0.0051453943945461485,0.002408612315009974,0.0015810378825381931,0.013110184441005526,0.008575017228228404,0.0020985245593133804,0.004164941725195892,0.00040218143910542774,-2.0836018160152894e-05,0.003296865825797247,0.002781479382226671,0.0023576023803422164
2010-04-07,-0.005859963852311054,-0.006779989079276631,-0.012526566504951566,0.0013148166739687457,-0.009118245571677772,-0.008945730967884218,-0.0061992797578610224,-0.004646397305117685,-0.0056515397338581415,-0.010379148962017581,0.004001377594951701,-0.012269712335021186,-0.0030623885793756443,-0.0031752177715698516,-0.002579743275806292,-0.012684546505401397,-0.0057122245669726235
2010-04-08,0.007304312123911471,0.0034878918401769323,0.007823108762313841,0.020252583137587488,0.013480669584235602,0.011986812955202833,0.0034242798046979894,-0.0018505789370642219,0.0007132583540643802,0.006319847113528537,0.012199666292042317,0.010937761713886537,0.0025960374872800026,0.003475656454165874,0.004494345822471375,0.016940096807649345,0.0034641503596299916
2010-04-09,0.008656647405336242,0.007282789635982652,0.010764581151688973,0.009054870792566751,0.004273982781996168,0.0047847284978455975,0.006694999307161591,0.0065243516916177495,0.00503982040230058,0.005325764747533628,0.0046006855305249245,0.007675821974510515,0.0027325218729493663,0.0069655305659166045,0.005463197899903936,0.005578378805351768,0.006566923515049838
2010-04-12,0.003920402073173927,0.0012664556789330828,-0.00041971089431819074,-0.0045360930629985904,0.004532316226260646,0.004342518547403322,0.0011553499913713938,0.0010865803319229372,0.0007175329240087016,0.0032114244095892237,0.0007713742910822276,0.0010457657098922007,0.0010337607838591138,0.0013536863491681326,0.0034317130531491226,0.002564740894594423,0.001589550407120166
2010-04-13,-0.0025001850668856036,0.002068434814056632,-0.0013387063445475511,-0.0008951576486704232,-0.005245738761692511,-3.2145415659003444e-05,0.0013191214208129372,0.00010848513980626494,-0.0008062197525386752,-3.193189260707486e-05,-0.004640728355722275,0.006970265344620171,0.0014175249232112992,0.0012509367385594044,0.0006553739953899543,0.0020557762718415606,0.0007518755976179126
2010-04-14,0.020611150391794023,0.013073074272940528,0.019426489328063408,-0.007259930815868649,0.002729663435464484,0.021273270334209414,0.008782316502012737,0.0011956948636756633,0.00207812936338892,0.015914297146479114,-0.0007843645430702874,0.019219811541632957,0.005933560537496158,0.011281364616960995,0.016568918742361757,0.018649368552147716,0.01134929730176304
2010-04-15,-0.002354123401385197,-0.0004734880648803578,-0.002375658860294617,-0.0017838096990839638,0.01629280682817377,0.0031441056542497433,0.000760779720706597,-0.00034257926120088435,-0.02884937612415054,-0.0021654787847573947,-0.007813228325668733,-0.0006912673913377625,0.0016062196455331472,0.0025997138337748313,0.0009302683764344592,0.003958300949755886,0.0008250754901544255
2010-04-16,-0.02099965946740963,-0.017086702101009998,-0.024324031299739708,-0.047685763180454435,-0.013485877078524385,-0.026051173727107975,-0.01348838952410931,-0.008237741279683563,-0.0021251288669452426,-0.016530695830730528,-0.006593548607856499,-0.02748969343372152,-0.008117494102559452,-0.014399668369371675,-0.02356135838043001,-0.02650753651619161,-0.015912251421297263
