Date,Clenow 动量 (Stocks on the Move),Minervini 趋势模板,HQM 高质量动量,"多因子动量 (FIP+偏度, Top5)",RSI(2) 均值回归 (Connors),动量 12-1 前 10% (Jegadeesh-Titman),52 周新高接近度 (George-Hwang),低波动 前 25% (long-only),低贝塔 前 10% (Betting Against Beta 多头腿),残差动量 前 10% (Blitz-Huij-Martens),短期反转 周度 10 只,12 个月季节性 (Heston-Sadka),一致性动量 (t−7..t−1 与 t−6..t 双前 10%),历史新高趋势跟踪 + ATR 止损,本仓库 C20 成交额加权 (strategy_final.py),本仓库 v6 动量 Top20 + 趋势过滤 (momentum.py),SPY 买入持有,成分股等权 (月调仓)
2010-02-04,-0.03440767597227874,-0.032025539126151206,-0.03991374944545112,-0.029718050897345284,-0.023875117094539444,-0.041540238824339736,-0.009369589865834234,-0.023325757183889063,-0.0196649157876265,-0.035207914497834086,-0.049958841420891346,-0.03811816285777845,3.3730159084948284e-06,-0.015271923044263213,-0.0351090734141955,-0.04659512253755964,-0.030865854658781222,-0.03257557262239683
2010-02-05,-4.608930270086076e-05,-0.0007266118675719974,0.0004818373020435299,-0.008059434857452178,0.007159406175393728,0.002371519874952409,0.0002772001646043886,0.00039198777759213966,0.001676254956892274,0.0032041430089675776,0.01349454035248923,0.01282950772272528,3.3730159084948284e-06,-0.01032402840819011,0.006038964420455912,0.002268025149900526,0.0020669923903138265,0.0024074582692602217
2010-02-08,-0.0072457315553173,-0.007428391040035395,-0.008836702117880062,0.000845868539471971,-0.005661253705304746,-0.010769854782908898,-0.002252879397327316,-0.006110394905740647,-0.011151596716344355,-0.009220634050041998,-0.010185591840911973,-0.007368133461667667,3.5714287133443927e-06,0.004873441912918386,-0.009903390552810486,-0.0037359333576579058,-0.007219646693806481,-0.007917430311605876
2010-02-09,0.015796885414912802,0.013845670073882413,0.01947358436718779,0.01453127984668928,0.009895765862400131,0.02397167809294947,0.004182457184466392,0.010766845322010707,0.015120355151003611,0.01838006443356772,0.008960531879671486,0.011127166761221918,3.968254027385561e-06,0.010418651265757362,0.012613516065840503,0.01994065086071001,0.012560544785478411,0.013797163926109968
2010-02-10,-0.009209160034051962,-0.004491329475043383,-0.004775484717445331,-0.006032321677408938,-0.016729981381309364,-0.008020413996266075,-0.0011577804456005013,-0.0027795116501027825,-0.00507811457897722,-0.00812503628896196,0.020854744243729212,-0.0002417912659439202,3.968254027385561e-06,-0.0033777998343427207,0.00017070772242518204,-0.004968376771153751,-0.0019583807061889225,-0.0018295181276508548
2010-02-11,0.01638252103034797,0.014474090125867978,0.015384992219001043,0.021353827050579286,-0.0040335092513158,0.012396509660650482,0.002649186499559152,0.005066281246109535,0.004539691390801835,0.01132435948457746,-0.0060158354804309205,0.01580893053517345,3.7698412225359962e-06,0.014448952253708347,0.010509800156766919,0.014743921675723014,0.010465702700875212,0.013045498417138953
2010-02-12,-0.0019947347588925887,-0.0018862088816015892,-0.004664556087495121,0.0015831446863693375,-0.005720670853023698,-0.0027534457208838866,-0.0010613947218767509,-0.0030637476672042098,-0.0039072611246514025,-0.0007077244592305457,-0.004300555448554486,-0.002231342058785297,3.5714287133443927e-06,-0.0036926603088317522,-0.0023636122196844275,-0.004495029771074946,-0.0008322429159836053,-0.0016344885194431728
2010-02-16,0.013803788291824222,0.01763644370004357,0.020718989871907494,0.005083835161293055,0.01939084659012055,0.024960792505859825,0.005521598548875123,0.01564392857118271,0.012985153517993661,0.024914331823392866,0.012044430366332777,0.014655889975712145,3.3730159084948284e-06,0.03000343158822405,0.0206461031309075,0.027406641840367563,0.015735387928070166,0.018331560888476515
2010-02-17,0.0051909386202061494,0.004681533152103394,0.003290023798160219,0.007986327343431888,0.002541655656837191,0.003184515887404693,0.001909237150297179,0.004343436081787524,0.005884300718743395,0.0008347922857823622,0.012985091472534203,0.0006634118708662146,3.5714287133443927e-06,0.008567673472229309,0.004396999841949656,0.003823568923657107,0.004738183980349087,0.004073921822298534
2010-02-18,0.006737256199544411,0.007525716453821192,0.004774220003632276,0.00882055311375359,0.0005574024636915222,0.010763217496874455,0.0023770560902627844,0.006594663512717475,0.00826613283364087,0.003030948029850827,0.007665965039313463,0.0005317632989348944,3.3730159084948284e-06,0.01104292224603265,0.005949684983078529,0.0171207672322789,0.005895147882003737,0.005478371499992934
2010-02-19,0.0033287905628661993,0.005348741090441877,0.00482313955129845,0.0018591367253145978,-0.002534569321000154,-0.0001706391925951173,0.0017214034219801447,0.004995380707477116,0.0031213197354832555,0.002671895315515621,0.010199482351010885,0.0023493116923636558,3.7698412225359962e-06,-0.012426552518072342,0.0010965926098954982,0.0013509198104725878,0.0020738711729042514,0.005746654147266352
2010-02-22,0.0002245903515125394,0.00011322731050693682,0.005828047989943744,0.0012495763787052077,0.011418351354324285,-0.0003941489845900283,0.0005453173280538476,-0.003931522766774228,-0.0012228758642389842,0.0034701690988651456,0.0020079561890268037,-0.0006944028762175,3.3730159084948284e-06,-0.0017097026006355387,0.0013196047991677873,-0.0018792939769820733,0.0001793500005577986,-0.00044202823381353544
